#Command: python /pacific/home/mdejesus//TRASH/mean_counts.py -f glycerol_H37Rv_rep1.wig,glycerol_H37Rv_rep2.wig -pt /pacific/home/mdejesus//TRASH/H37Rv.gff3 -n TTR -o normalized_counts3.txt
#Summarized to Mean Gene Counts with TRANSIT.
#Reads normalized using 'TTR'
#Normalization Factors: 2.286197257382532 1.4371695843583265
#Files:
#glycerol_H37Rv_rep1.wig
#glycerol_H37Rv_rep2.wig
#Orf	Name	Number of TA sites	glycerol_H37Rv_rep1.wig	glycerol_H37Rv_rep2.wig
Rv2751	-	23	39.76	12.31
Rv2752c	-	19	79.54	70.35
Rv2753c	dapA	10	0.00	0.00
Rv2754c	thyX	9	0.00	0.00
Rv2755c	hsdS.1	7	91.12	66.32
Rv2756c	hsdM	37	32.50	37.41
Rv2757c	-	8	0.29	21.02
Rv2758c	-	6	0.00	19.16
Rv2759c	-	9	153.43	193.22
Rv2760c	-	2	236.62	476.42
Rv2761c	hsdS	25	69.41	78.01
Rv2762c	-	5	114.31	89.97
Rv2763c	dfrA	9	0.00	0.00
Rv2764c	thyA	22	0.00	0.00
Rv2765	-	14	169.18	112.92
Rv2766c	fabG	6	796.36	733.44
Rv2767c	-	10	114.77	98.59
Rv2768c	PPE43	18	201.95	188.83
Rv2769c	PE27	17	258.47	174.24
Rv2770c	PPE44	16	329.64	398.99
Rv2771c	-	9	263.93	311.55
Rv2772c	-	11	146.32	135.49
Rv2773c	dapB	12	0.00	0.00
Rv2774c	-	3	0.00	60.84
Rv2775	-	12	32.20	43.47
Rv2776c	-	15	103.34	68.89
Rv2777c	-	21	180.72	170.82
Rv2778c	-	9	172.99	103.80
Rv2779c	-	8	58.58	111.02
Rv2780	ald	25	55.87	56.68
Rv2781c	-	19	154.50	147.27
Rv2782c	pepR	13	43.09	114.20
Rv2783c	gpsI	19	0.00	0.00
Rv2784c	lppU	6	390.18	303.72
Rv2785c	rpsO	4	0.00	0.00
Rv2786c	ribF	14	6.70	15.50
Rv2787	-	27	255.97	210.15
Rv2788	sirR	7	79.36	148.64
Rv2789c	fadE21	16	7.57	31.98
Rv2790c	ltp1	23	23.66	45.93
Rv2791c	-	17	50.43	32.55
Rv2792c	-	7	6.21	52.76
Rv2793c	truB	10	0.00	21.41
Rv2794c	-	9	0.00	0.00
Rv2795c	-	16	45.58	69.34
Rv2796c	lppV	5	334.70	269.90
Rv2797c	-	23	278.12	266.00
Rv2798c	-	3	29.72	109.70
Rv2799	-	13	132.95	143.50
Rv2800	-	20	161.86	158.23
Rv2801c	-	5	104.25	146.88
Rv2802c	-	8	289.78	258.15
Rv2803	-	7	1024.22	797.01
Rv2804c	-	7	377.88	288.67
Rv2805	-	3	277.39	271.15
Rv2806	-	7	186.81	247.60
Rv2807	-	11	63.81	44.03
Rv2808	-	9	143.52	88.79
Rv2809	-	8	32.86	15.27
Rv2810c	-	12	83.07	73.65
Rv2811	-	3	234.72	324.80
Rv2812	-	19	53.06	22.54
Rv2813	-	11	56.53	57.36
Rv2814c	-	25	138.18	118.14
Rv2815c	-	4	189.75	149.82
Rv2816c	-	14	75.28	48.45
Rv2817c	-	21	15.79	7.53
Rv2818c	-	27	22.44	55.41
Rv2819c	-	23	77.23	49.61
Rv2820c	-	19	96.38	135.02
Rv2821c	-	13	115.72	57.38
Rv2822c	-	13	116.77	143.72
Rv2823c	-	48	99.45	82.37
Rv2824c	-	18	196.87	187.87
Rv2825c	-	5	0.00	2.30
Rv2826c	-	11	79.60	92.24
Rv2827c	-	14	0.00	0.00
Rv2828c	-	5	0.00	1.44
Rv2829c	-	4	185.75	120.36
Rv2830c	-	1	0.00	0.00
Rv2831	echA16	6	113.17	84.31
Rv2832c	ugpC	10	54.87	44.70
Rv2833c	ugpB	19	0.00	17.93
Rv2834c	ugpE	9	37.85	42.64
Rv2835c	ugpA	16	43.01	40.69
Rv2836c	dinF	23	71.77	67.92
Rv2837c	-	13	0.00	0.00
Rv2838c	rbfA	8	0.00	3.23
Rv2839c	infB	30	0.00	0.91
Rv2840c	-	7	207.39	94.65
Rv2841c	nusA	14	0.00	2.57
Rv2842c	-	7	0.98	1.23
Rv2843	-	8	3.14	19.58
Rv2844	-	4	0.00	0.00
Rv2845c	proS	30	0.00	0.00
Rv2846c	efpA	33	0.00	0.00
Rv2847c	cysG	18	0.00	0.00
Rv2848c	cobB	25	116.05	159.99
Rv2849c	cobO	6	104.40	23.95
Rv2850c	-	17	121.98	88.85
Rv2851c	-	9	163.59	203.76
Rv2852c	mqo	21	98.31	85.48
Rv2853	PE_PGRS48	35	187.40	131.89
Rv2854	-	18	66.30	123.04
Rv2855	mtr	30	23.32	25.49
Rv2856	nicT	15	130.92	64.67
Rv2857c	-	12	9.53	33.17
Rv2858c	aldC	14	74.14	80.58
Rv2859c	-	17	151.83	199.77
Rv2860c	glnA4	31	224.71	151.00
Rv2861c	mapB	15	0.00	0.00
Rv2862c	-	5	345.22	384.30
Rv2863	-	4	281.20	366.48
Rv2864c	-	24	168.04	164.74
Rv2865	-	3	36.58	89.10
Rv2866	-	5	172.38	240.87
Rv2867c	-	12	181.18	248.03
Rv2868c	ispG	14	13.88	1.64
Rv2869c	-	21	0.00	0.21
Rv2870c	dxr	16	5.43	34.67
Rv2871	-	7	0.00	4.93
Rv2872	-	11	163.15	160.05
Rv2873	mpt83	13	111.85	115.97
Rv2874	dipZ	46	69.03	77.23
Rv2875	mpt70	12	208.81	167.19
Rv2876	-	1	105.17	64.67
Rv2877c	-	20	218.79	171.02
Rv2878c	mpt53	7	504.27	351.08
Rv2879c	-	11	176.66	361.64
Rv2880c	-	15	193.56	320.01
Rv2881c	cdsA	12	0.00	0.60
Rv2882c	frr	16	0.00	1.53
Rv2883c	pyrH	10	0.00	0.00
Rv2884	-	15	77.88	128.87
Rv2885c	-	17	59.17	48.44
Rv2886c	-	21	96.56	125.51
Rv2887	-	8	76.87	23.17
Rv2888c	amiC	33	219.34	219.93
Rv2889c	tsf	10	0.00	0.00
Rv2890c	rpsB	9	0.00	0.00
Rv2891	-	13	65.60	131.00
Rv2892c	PPE45	21	167.55	197.17
Rv2893	-	10	194.56	131.21
Rv2894c	xerC	12	11.05	12.10
Rv2895c	viuB	12	235.10	308.15
Rv2896c	-	20	316.30	234.62
Rv2897c	-	11	45.10	111.84
Rv2898c	-	4	53.73	73.30
Rv2899c	fdhD	13	28.49	35.27
Rv2900c	fdhF	33	56.60	87.10
Rv2901c	-	9	102.62	53.97
Rv2902c	rnhB	12	209.38	220.85
Rv2903c	lepB	12	0.00	0.00
Rv2904c	rplS	4	0.00	0.00
Rv2905	lppW	16	189.75	186.56
Rv2906c	trmD	10	0.00	0.00
Rv2907c	rimM	7	0.00	0.00
Rv2908c	-	6	0.00	0.00
Rv2909c	rpsP	7	0.00	7.80
Rv2910c	-	10	49.84	140.84
Rv2911	dacB2	10	117.74	169.59
Rv2912c	-	9	76.21	75.37
Rv2913c	-	30	38.10	56.86
Rv2914c	pknI	27	118.12	284.93
Rv2915c	-	13	236.18	190.81
Rv2916c	ffh	10	0.00	0.00
Rv2917	-	25	286.14	328.48
Rv2918c	glnD	26	58.91	71.03
Rv2919c	glnB	6	85.35	37.85
Rv2920c	amt	20	153.40	86.45
Rv2921c	ftsY	13	0.00	0.00
Rv2922c	smc	41	43.16	43.33
Rv2922A	acyP	1	0.00	0.00
Rv2923c	-	5	203.93	177.35
Rv2924c	fpg	14	355.18	472.52
Rv2925c	rnc	11	0.00	0.00
Rv2926c	-	6	9.91	14.13
Rv2927c	-	12	0.00	15.45
Rv2928	tesA	26	30.78	26.53
Rv2929	-	7	40.50	82.33
Rv2930	fadD26	40	721.41	543.36
Rv2931	ppsA	81	477.82	399.76
Rv2932	ppsB	71	418.18	298.53
Rv2933	ppsC	84	452.75	318.61
Rv2934	ppsD	67	434.07	352.79
Rv2935	ppsE	68	737.74	625.00
Rv2936	drrA	19	230.42	205.89
Rv2937	drrB	23	58.45	74.67
Rv2938	drrC	26	177.00	185.39
Rv2939	papA5	29	641.95	378.32
Rv2940c	mas	82	724.25	651.70
Rv2941	fadD28	46	447.60	378.63
Rv2942	mmpL7	43	115.48	98.26
Rv2943	-	11	182.69	190.62
Rv2943A	-	7	50.62	52.76
Rv2944	-	10	49.38	56.19
Rv2945c	lppX	10	151.80	114.11
Rv2946c	pks1	50	209.05	164.76
Rv2947c	pks15	22	207.52	301.41
Rv2948c	fadD22	48	188.90	214.47
Rv2949c	-	22	7.90	5.75
Rv2950c	fadD29	46	160.93	161.53
Rv2951c	-	24	95.64	134.91
Rv2952	-	16	89.88	99.88
Rv2953	-	25	97.85	121.47
Rv2954c	-	13	477.99	397.21
Rv2955c	-	20	213.19	205.01
Rv2956	-	18	10.80	8.14
Rv2957	-	18	209.57	256.77
Rv2958c	-	25	152.17	175.68
Rv2959c	-	31	20.80	13.03
Rv2960c	-	7	125.41	61.80
Rv2961	-	7	143.05	243.91
Rv2962c	-	21	113.33	70.01
Rv2963	-	24	120.31	81.02
Rv2964	purU	17	128.70	166.46
Rv2965c	coaD	4	0.00	0.00
Rv2966c	-	7	34.95	49.48
Rv2967c	pca	63	19.56	28.47
Rv2968c	-	11	0.00	0.00
Rv2969c	-	11	0.00	0.00
Rv2970c	lipN	17	394.84	281.09
Rv2970A	-	4	100.59	49.22
Rv2971	-	15	0.00	1.72
Rv2972c	-	12	68.59	198.69
Rv2973c	recG	30	49.99	53.85
Rv2974c	-	20	197.41	233.40
Rv2975c	-	2	66.30	107.07
Rv2976c	ung	8	59.44	119.46
Rv2977c	thiL	9	0.00	0.00
Rv2978c	-	12	21.72	66.11
Rv2979c	-	8	342.07	227.25
Rv2980	-	6	0.00	0.00
Rv2981c	ddl	14	0.00	0.00
Rv2982c	gpsA	13	209.45	338.95
Rv2983	-	6	10.29	0.00
Rv2984	ppk	32	0.00	0.00
Rv2985	mutT1	15	54.11	42.64
Rv2986c	hupB	8	0.00	0.00
Rv2987c	leuD	10	11.43	0.00
Rv2988c	leuC	13	0.00	0.00
Rv2989	-	8	4.86	34.67
Rv2990c	-	18	294.28	286.80
Rv2991	-	5	94.65	249.78
Rv2992c	gltX	19	0.00	0.00
Rv2993c	-	9	14.48	11.82
Rv2994	-	20	124.94	140.12
Rv2995c	leuB	10	0.00	0.00
Rv2996c	serA1	11	0.00	0.00
Rv2997	-	16	88.45	92.25
Rv2998	-	5	139.00	101.18
Rv2998A	-	2	0.00	1.44
Rv2999	lppY	11	22.86	29.00
Rv3000	-	8	93.73	163.12
Rv3001c	ilvC	13	0.00	0.00
Rv3002c	ilvH	4	0.00	0.00
Rv3003c	ilvB1	15	0.00	0.00
Rv3004	cfp6	4	161.18	99.52
Rv3005c	-	21	35.71	97.32
Rv3006	lppZ	16	0.00	0.00
Rv3007c	-	9	413.80	443.93
Rv3008	-	18	287.30	214.86
Rv3009c	gatB	20	1.37	2.66
Rv3010c	pfkA	12	52.01	59.28
Rv3011c	gatA	23	0.00	0.00
Rv3012c	gatC	0	0.00	0.00
Rv3013	-	8	236.91	312.23
Rv3014c	ligA	13	0.00	0.00
Rv3015c	-	9	68.08	158.89
Rv3016	lpqA	11	116.18	111.58
Rv3017c	esxQ	10	317.32	367.05
Rv3018c	PPE46	28	145.34	151.98
Rv3018A	PE27A	0	0.00	0.00
Rv3019c	esxR	9	222.52	301.01
Rv3020c	esxS	8	0.86	8.44
Rv3021c	PPE47	22	44.06	50.63
Rv3022c	PPE48	5	346.13	396.95
Rv3022A	PE29	6	234.72	88.63
Rv3023c	-	16	95.45	95.48
Rv3024c	trmU	13	0.18	0.00
Rv3025c	iscS	17	0.00	0.00
Rv3026c	-	10	221.08	344.20
Rv3027c	-	18	223.79	261.88
Rv3028c	fixB	11	0.00	0.00
Rv3029c	fixA	8	0.00	0.00
Rv3030	-	11	7.90	0.39
Rv3031	-	20	0.00	0.00
Rv3032	-	10	0.00	0.00
Rv3033	-	3	82.30	55.57
Rv3034c	-	13	138.93	103.37
Rv3035	-	18	0.00	0.00
Rv3036c	TB22.2	16	152.03	179.74
Rv3037c	-	15	270.69	284.08
Rv3038c	-	14	74.79	4.00
Rv3039c	echA17	10	7.32	14.66
Rv3040c	-	13	33.94	50.85
Rv3041c	-	9	111.26	58.92
Rv3042c	serB2	11	0.00	0.00
Rv3043c	ctaD	26	0.00	2.21
Rv3044	fecB	16	0.00	0.00
Rv3045	adhC	20	47.67	135.81
Rv3046c	-	2	53.73	13.65
Rv3047c	-	5	82.76	90.83
Rv3048c	nrdF	23	0.00	0.00
Rv3049c	-	33	364.82	364.04
Rv3050c	-	8	22.86	13.11
Rv3051c	nrdE	55	0.00	0.00
Rv3052c	nrdI	14	0.00	0.00
Rv3053c	nrdH	8	0.00	0.00
Rv3054c	-	6	98.31	136.29
Rv3055	-	7	107.12	141.05
Rv3056	dinP	20	426.38	324.58
Rv3057c	-	18	271.17	242.16
Rv3058c	-	9	274.85	302.76
Rv3059	cyp136	24	452.10	444.15
Rv3060c	-	24	86.68	119.29
Rv3061c	fadE22	23	116.70	187.77
Rv3062	ligB	20	252.05	184.60
Rv3063	cstA	30	301.93	216.87
Rv3064c	-	9	211.85	150.58
Rv3065	mmr	9	188.99	304.04
Rv3066	-	10	27.21	38.37
Rv3067	-	8	246.62	208.57
Rv3068c	pgmA	32	186.33	199.68
Rv3069	ccrB	6	326.16	176.77
Rv3070	ccrB	9	71.63	59.24
Rv3071	-	16	52.30	59.46
Rv3072c	-	9	74.43	116.09
Rv3073c	-	4	241.19	132.22
Rv3074	-	15	83.52	99.55
Rv3075c	-	16	270.49	188.72
Rv3076	-	5	14.63	75.31
Rv3077	-	37	178.32	194.91
Rv3078	hab	6	225.95	108.75
Rv3079c	-	17	117.27	129.51
Rv3080c	pknK	32	111.88	117.67
Rv3081	-	18	52.71	60.84
Rv3082c	virS	19	68.47	62.40
Rv3083	-	26	163.90	152.62
Rv3084	lipR	14	81.98	108.40
Rv3085	-	4	116.60	116.77
Rv3086	adhD	11	128.65	165.41
Rv3087	-	14	127.21	166.71
Rv3088	-	13	103.93	190.37
Rv3089	fadD13	22	160.66	148.03
Rv3090	-	9	196.36	265.88
Rv3091	-	15	245.08	303.72
Rv3092c	-	9	212.62	281.05
Rv3093c	-	17	104.63	133.66
Rv3094c	-	11	178.53	244.32
Rv3095	-	8	198.61	306.66
Rv3096	-	15	333.63	371.36
Rv3097c	PE_PGRS63	28	283.49	543.10
Rv3098c	-	8	213.19	177.31
Rv3099c	-	6	76.21	38.56
Rv3100c	smpB	4	0.57	55.33
Rv3101c	ftsX	18	0.00	0.00
Rv3102c	ftsE	8	0.00	0.00
Rv3103c	-	7	303.74	341.64
Rv3104c	-	11	122.62	198.46
Rv3105c	prfB	17	0.00	0.00
Rv3106	fprA	18	237.89	266.75
Rv3107c	agpS	22	84.38	95.05
Rv3108	-	7	20.90	18.27
Rv3109	moaA1	41	42.94	15.25
Rv3110	moaB1	9	9.65	29.06
Rv3111	moaC	13	32.18	28.30
Rv3112	moaD1	7	0.00	0.00
Rv3113	-	8	10.29	6.29
Rv3114	-	8	53.73	20.48
Rv3115	-	16	102.31	76.44
Rv3116	moeB2	28	80.10	86.44
Rv3117	cysA3	15	65.69	133.85
Rv3118	sseC1	2	177.18	103.48
Rv3119	moaE1	12	278.92	317.49
Rv3120	-	9	74.94	78.41
Rv3121	cyp141	26	107.19	118.07
Rv3122	-	7	208.04	272.24
Rv3123	-	4	392.08	190.78
Rv3124	-	30	72.85	70.95
Rv3125c	PPE49	21	107.89	63.37
Rv3126c	-	3	0.00	0.00
Rv3127	-	18	12.70	30.50
Rv3129	-	4	124.03	113.18
Rv3130c	-	27	98.31	89.26
Rv3131	-	15	44.66	30.28
Rv3132c	devS	31	29.13	16.18
Rv3133c	devR	12	161.56	120.60
Rv3134c	-	9	204.74	183.00
Rv3135	PPE50	9	108.47	101.88
Rv3136	PPE51	21	3.59	25.39
Rv3137	-	8	0.00	0.00
Rv3138	pflA	21	90.03	120.93
Rv3139	fadE24	22	39.59	37.89
Rv3140	fadE23	19	31.65	46.14
Rv3141	fadB4	16	25.29	72.49
Rv3142c	-	11	85.21	121.24
Rv3143	-	4	0.00	2.87
Rv3144c	PPE52	17	135.42	154.79
Rv3145	nuoA	12	93.35	120.12
Rv3146	nuoB	9	77.48	43.59
Rv3147	nuoC	14	16.49	39.73
Rv3148	nuoD	22	0.62	1.24
Rv3149	nuoE	9	77.98	78.57
Rv3150	nuoF	25	11.61	17.82
Rv3151	nuoG	30	0.76	26.97
Rv3152	nuoH	27	1.95	29.60
Rv3153	nuoI	23	45.03	70.55
Rv3154	nuoJ	10	390.71	191.00
Rv3155	nuoK	6	0.00	16.53
Rv3156	nuoL	35	16.07	32.07
Rv3157	nuoM	33	6.24	15.72
Rv3158	nuoN	32	39.58	115.69
Rv3159c	PPE53	26	54.17	92.81
Rv3160c	-	7	0.65	11.70
Rv3161c	-	24	100.78	91.50
Rv3162c	-	6	299.87	217.73
Rv3163c	-	15	153.63	149.94
Rv3164c	moxR3	12	98.88	67.91
Rv3165c	-	6	80.78	108.99
Rv3166c	-	16	92.02	46.53
Rv3167c	-	10	45.72	43.55
Rv3168	-	19	40.43	25.49
Rv3169	-	19	144.99	110.96
Rv3170	aofH	18	176.80	125.19
Rv3171c	hpx	13	131.19	69.98
Rv3172c	-	17	24.07	65.18
Rv3173c	-	8	0.00	21.74
Rv3174	-	13	32.18	103.14
Rv3175	-	21	92.10	99.10
Rv3176c	mesT	14	18.62	93.83
Rv3177	-	8	132.60	70.78
Rv3178	-	7	45.72	24.84
Rv3179	-	14	288.39	362.68
Rv3180c	-	6	145.17	177.25
Rv3181c	-	6	4.57	26.35
Rv3182	-	1	0.00	70.42
Rv3183	-	3	6.10	55.57
Rv3184	-	4	197.18	121.44
Rv3185	-	25	121.81	121.58
Rv3186	-	4	170.89	148.03
Rv3187	-	25	124.55	115.20
Rv3188	-	7	74.14	100.40
Rv3189	-	8	239.48	254.02
Rv3190c	-	23	225.44	202.14
Rv3191c	-	19	195.53	200.30
Rv3192	-	4	67.44	172.46
Rv3193c	-	82	0.08	2.51
Rv3194c	-	15	68.59	58.06
Rv3195	-	17	208.04	176.26
Rv3196	-	9	523.03	364.88
Rv3196A	-	1	425.23	574.87
Rv3197	-	19	127.91	150.52
Rv3197A	whiB7	4	209.76	197.97
Rv3198c	uvrD2	35	40.96	51.70
Rv3198A	-	6	243.10	186.59
Rv3199c	nudC	8	190.33	262.64
Rv3200c	-	16	4.29	15.90
Rv3201c	-	48	76.44	69.25
Rv3202c	-	30	111.49	118.47
Rv3203	lipV	12	43.25	82.04
Rv3204	-	4	13.72	194.74
Rv3205c	-	14	66.63	47.02
Rv3206c	moeB1	24	1.24	4.25
Rv3207c	-	17	19.77	16.57
Rv3208	-	10	0.00	0.00
Rv3208A	TB9.4	5	137.17	9.77
Rv3209	-	9	221.51	328.63
Rv3210c	-	10	0.00	0.00
Rv3211	rhlE	24	13.72	29.22
Rv3212	-	21	0.00	2.87
Rv3213c	-	12	115.64	86.59
Rv3214	gpm2	11	16.83	45.34
Rv3215	entC	16	0.00	0.00
Rv3216	-	6	163.08	157.85
Rv3217c	-	3	63.25	42.16
Rv3218	-	18	35.94	75.77
Rv3219	whiB1	4	0.00	0.00
Rv3220c	-	21	125.09	267.38
Rv3221c	TB7.3	2	0.00	0.00
Rv3221A	-	2	0.00	0.00
Rv3222c	-	7	0.00	0.00
Rv3223c	sigH	15	60.97	96.77
Rv3224	-	16	180.61	224.56
Rv3224A	-	3	6.10	7.19
Rv3224B	-	3	15.24	101.08
Rv3225c	-	28	154.16	130.01
Rv3226c	-	6	357.03	369.59
Rv3227	aroA	8	0.00	0.00
Rv3228	-	9	1.52	7.98
Rv3229c	-	24	28.58	22.82
Rv3230c	-	16	2.71	11.59
Rv3231c	-	6	177.18	126.23
Rv3232c	pvdS	24	115.07	184.50
Rv3233c	-	12	184.42	249.23
Rv3234c	-	18	231.03	250.79
Rv3235	-	6	126.88	118.33
Rv3236c	-	14	178.98	272.45
Rv3237c	-	9	194.83	177.89
Rv3238c	-	22	137.80	235.11
Rv3239c	-	56	188.37	253.51
Rv3240c	secA1	46	13.52	10.56
Rv3241c	-	12	112.21	135.93
Rv3242c	-	4	137.17	138.33
Rv3243c	-	4	131.46	59.64
Rv3244c	lpqB	21	0.00	0.00
Rv3245c	mtrB	20	0.00	0.00
Rv3246c	mtrA	11	0.00	0.00
Rv3247c	tmk	10	0.00	0.00
Rv3248c	sahH	24	0.00	0.00
Rv3249c	-	13	60.85	41.57
Rv3250c	rubB	3	129.55	143.72
Rv3251c	rubA	4	167.46	272.34
Rv3252c	alkB	31	296.32	308.67
Rv3253c	-	25	94.74	104.51
Rv3254	-	20	121.17	203.43
Rv3255c	manA	21	0.00	0.00
Rv3256c	-	9	282.47	149.63
Rv3257c	manB	24	0.00	0.00
Rv3258c	-	5	0.00	0.00
Rv3259	-	2	344.07	324.08
Rv3260c	whiB2	2	0.00	0.00
Rv3261	fbiA	14	62.87	51.22
Rv3262	fbiB	13	0.88	26.97
Rv3263	-	29	322.27	371.48
Rv3264c	manB	17	0.00	0.00
Rv3265c	wbbL1	17	14.12	0.00
Rv3266c	rmlD	17	0.00	0.00
Rv3267	-	23	0.00	0.87
Rv3268	-	13	98.48	149.47
Rv3269	-	5	0.00	0.00
Rv3270	ctpC	17	27.03	20.46
Rv3271c	-	6	23.24	8.86
Rv3272	-	19	106.85	139.63
Rv3273	-	31	70.65	120.86
Rv3274c	fadE25	19	38.99	45.08
Rv3275c	purE	7	0.00	0.00
Rv3276c	purK	10	0.00	4.60
Rv3277	-	13	0.00	21.56
Rv3278c	-	8	81.16	43.12
Rv3279c	birA	6	0.00	0.00
Rv3280	accD5	32	0.00	0.00
Rv3281	-	3	0.00	0.00
Rv3282	maf	11	21.61	44.81
Rv3283	sseA	20	345.33	189.56
Rv3284	-	5	97.85	35.93
Rv3285	accA3	26	0.00	0.00
Rv3286c	sigF	11	185.81	174.16
Rv3287c	rsbW	3	166.13	129.35
Rv3288c	usfY	10	135.11	271.48
Rv3289c	-	7	192.69	179.85
Rv3290c	lat	25	159.76	183.61
Rv3291c	-	11	4.36	33.97
Rv3292	-	20	211.02	186.19
Rv3293	pcd	16	164.32	133.75
Rv3294c	-	20	173.52	168.22
Rv3295	-	12	1155.10	1353.33
Rv3296	lhr	55	253.19	228.38
Rv3297	nei	10	286.00	208.25
Rv3298c	lpqC	12	180.42	134.73
Rv3299c	atsB	46	171.32	115.50
Rv3300c	-	11	37.41	44.55
Rv3301c	phoY1	10	89.85	108.94
Rv3302c	glpD2	28	0.00	0.00
Rv3303c	lpdA	22	80.74	80.68
Rv3304	-	11	54.04	54.61
Rv3305c	amiA1	20	88.36	38.73
Rv3306c	amiB1	15	61.27	169.20
Rv3307	deoD	11	202.02	110.92
Rv3308	pmmB	20	127.00	135.96
Rv3309c	upp	8	176.89	184.86
Rv3310	-	17	112.56	106.27
Rv3311	-	16	40.15	40.06
Rv3312c	-	17	300.84	257.42
Rv3312A	-	5	521.25	737.56
Rv3313c	add	12	34.10	41.08
Rv3314c	deoA	12	38.48	63.71
Rv3315c	cdd	5	116.14	39.38
Rv3316	sdhC	6	249.58	247.19
Rv3317	sdhD	4	258.91	150.18
Rv3318	sdhA	31	127.29	136.53
Rv3319	sdhB	8	321.21	321.21
Rv3320c	-	5	171.01	137.11
Rv3321c	-	3	283.49	148.03
Rv3322c	-	7	96.02	127.29
Rv3323c	moaX	15	253.16	208.58
Rv3324c	moaC	10	184.27	178.93
Rv3325	-	4	184.04	121.08
Rv3326	-	25	126.93	120.38
Rv3327	-	20	210.10	141.63
Rv3328c	sigJ	12	148.22	204.08
Rv3329	-	21	187.79	315.08
Rv3330	dacB1	19	90.97	170.80
Rv3331	sugI	25	124.64	164.35
Rv3332	nagA	6	4.19	88.39
Rv3333c	-	12	301.40	337.85
Rv3334	-	9	62.74	115.13
Rv3335c	-	11	163.15	19.60
Rv3336c	trpS	15	0.00	0.00
Rv3337	-	9	131.08	160.32
Rv3338	-	4	104.02	100.96
Rv3339c	icd1	26	116.95	106.85
Rv3340	metC	17	50.43	22.06
Rv3341	metX	15	0.00	0.00
Rv3342	-	9	4.83	18.84
Rv3343c	PPE54	156	167.93	148.74
Rv3344c	PE_PGRS49	6	145.55	109.22
Rv3345c	PE_PGRS50	47	61.44	71.71
Rv3346c	-	3	712.53	882.42
Rv3347c	PPE55	120	197.09	212.58
Rv3348	-	3	82.30	85.27
Rv3349c	-	3	102.88	284.08
Rv3350c	PPE56	129	232.73	236.14
Rv3351c	-	15	270.08	437.09
Rv3352c	-	2	507.54	474.98
Rv3353c	-	3	442.76	367.92
Rv3354	-	6	834.84	761.46
Rv3355c	-	4	160.61	200.49
Rv3356c	folD	9	0.00	0.00
Rv3357	-	5	154.55	140.56
Rv3358	-	4	262.34	298.93
Rv3359	-	18	437.43	425.24
Rv3360	-	2	693.86	442.65
Rv3361c	-	5	65.39	2.30
Rv3362c	-	7	206.74	321.52
Rv3363c	-	8	151.17	194.02
Rv3364c	-	4	198.33	260.13
Rv3365c	-	33	82.10	111.05
Rv3366	spoU	6	416.85	434.98
Rv3367	PE_PGRS51	23	161.23	168.15
Rv3368c	-	8	315.21	194.74
Rv3369	-	7	191.06	128.32
Rv3370c	dnaE2	35	107.65	76.13
Rv3371	-	23	58.55	100.04
Rv3372	otsB2	9	0.00	0.00
Rv3373	echA18	3	96.78	35.45
Rv3374	echA18.1	2	17.15	115.69
Rv3375	amiD	22	77.00	61.86
Rv3376	-	9	123.20	92.78
Rv3377c	-	59	30.77	47.04
Rv3378c	-	40	1.60	1.33
Rv3379c	dxs2	34	114.31	68.35
Rv3380c	-	23	140.55	116.22
Rv3381c	-	4	193.76	161.68
Rv3382c	lytB1	12	178.32	91.02
Rv3383c	idsB	19	17.81	42.59
Rv3384c	-	3	95.26	207.91
Rv3385c	-	3	156.99	26.83
Rv3386	-	11	110.98	80.74
Rv3387	-	7	86.22	68.78
Rv3388	PE_PGRS52	19	66.06	60.51
Rv3389c	-	9	202.71	278.81
Rv3390	lpqD	12	454.95	559.30
Rv3391	acrA1	35	68.06	129.02
Rv3392c	cmaA1	13	66.48	102.26
Rv3393	iunH	10	339.96	196.60
Rv3394c	-	16	73.02	151.89
Rv3395c	-	4	193.18	241.09
Rv3395A	-	10	29.49	36.79
Rv3396c	guaA	16	0.00	0.00
Rv3397c	phyA	19	42.23	34.57
Rv3398c	idsA1	11	1.66	16.46
Rv3399	-	18	24.26	79.44
Rv3400	-	14	41.64	30.18
Rv3401	-	36	220.94	239.89
Rv3402c	-	28	380.33	332.19
Rv3403c	-	26	226.69	300.70
Rv3404c	-	10	245.77	288.58
Rv3405c	-	9	8.13	107.63
Rv3406	-	17	171.33	173.14
Rv3407	-	3	631.75	287.91
Rv3408	-	9	630.23	532.55
Rv3409c	choD	22	267.38	373.34
Rv3410c	guaB3	14	0.00	0.00
Rv3411c	guaB2	15	15.24	0.67
Rv3412	-	9	83.83	86.39
Rv3413c	-	6	77.35	88.39
Rv3414c	sigD	10	188.15	138.83
Rv3415c	-	10	184.95	249.92
Rv3416	whiB3	4	107.45	166.71
Rv3417c	groEL	16	43.15	46.62
Rv3418c	groES	4	0.00	0.00
Rv3419c	gcp	12	3.43	28.50
Rv3420c	rimI	11	40.94	43.77
Rv3421c	-	12	26.10	21.80
Rv3422c	-	6	0.00	4.55
Rv3423c	alr	21	0.00	0.00
Rv3424c	-	10	60.81	58.21
Rv3425	PPE57	22	224.05	171.61
Rv3426	PPE58	25	17.10	22.99
Rv3427c	-	11	51.96	35.28
Rv3428c	-	17	52.18	40.16
Rv3429	PPE59	29	29.17	30.53
Rv3430c	-	23	179.62	174.02
